Municipio,RF_2010,RF_2000,RF_1980
2405306,75,126,107
2405405,75,126,107
2405504,75,126,107
2405603,80,130,106
2405702,80,130,106
2405801,75,126,107
2405900,80,130,106
2406007,80,130,106
2406106,80,130,106
2406155,75,,
2406205,75,126,107
2406304,75,126,107
2406403,75,126,107
2406502,80,130,106
2406601,75,126,107
2406700,75,126,107
2406809,75,126,107
2406908,80,130,106
2407005,80,130,106
2407104,75,126,107
2407203,80,130,106
2407252,80,130,
2407302,80,130,106
2407401,80,130,106
2407500,75,126,107
2407609,80,130,106
2407708,75,126,107
2407807,75,126,107
2407906,75,126,107
2408003,80,130,106
2408102,75,126,107
2408201,75,126,107
2408300,75,126,107
2408409,80,130,106
2408508,80,130,106
2408607,80,130,106
2408706,80,130,106
2408805,75,126,107
2408904,80,130,106
2408953,75,126,
2409100,75,126,107
2409209,75,126,107
2409308,80,130,106
2409332,75,126,
2409407,80,130,106
2409506,75,126,107
2409605,75,126,107
2409704,80,126,107
2409803,75,126,107
2409902,80,130,106
2410009,80,130,104
2410108,75,126,107
2410207,80,130,106
2410256,80,130,
2410306,75,126,107
2410405,75,126,107
2410504,80,130,106
2410603,80,130,106
2410702,80,130,106
2410801,80,130,106
2410900,75,126,107
2411007,80,130,106
2411056,80,130,
2411106,75,126,107
2411205,75,126,107
2411403,80,130,106
2411429,80,130,106
2411502,75,126,107
2411601,80,126,107
2411700,75,126,107
2411809,80,130,106
2411908,80,130,106
2412005,75,126,107
2412104,80,130,106
2412203,75,126,107
2412302,75,126,107
2412401,80,130,106
2412500,80,130,106
2412559,75,126,
2412609,75,126,107
2412708,75,126,107
2412807,80,130,106
2412906,75,126,107
2413003,80,130,106
2413102,75,126,107
2413201,75,126,107
2413300,75,126,107
2413359,80,130,
2413409,80,130,106
2413508,75,126,107
2413557,80,130,
2413607,80,130,106
2413706,75,126,107
2413805,80,130,106
2413904,75,126,107
2414001,75,126,107
2414100,80,130,106
2414159,80,130,
2414209,75,126,107
2414308,80,130,106
2414407,75,126,107
2414456,80,130,
2414506,80,130,106
2414605,80,130,106
2414704,75,126,107
2414753,80,130,
2414803,75,126,107
2414902,80,130,106
2415008,75,126,107
2500106,80,130,105
2500205,80,130,105
2500304,75,128,113
2500403,75,128,113
2500502,75,128,113
2500536,79,128,
2500577,75,128,
2500601,75,128,113
2500700,80,130,105
2500734,75,128,
2500775,80,130,
2500809,75,128,113
2500908,75,128,113
2501005,75,128,113
2501104,75,128,113
2501153,80,130,
2501203,75,128,113
2501302,75,128,113
2501351,75,128,
2501401,75,128,113
2501500,75,128,113
2501534,75,128,
2501575,75,128,
2501609,75,128,106
2501708,79,128,113
2501807,75,128,113
2501906,75,128,113
